epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2937.19,0.45387,0.41255,0.88348,0.99531,1,0.995,0.97292,0.26779,0.38211,0.80318,0.000844432,0.000844432,0.000844432
43,3005.72,0.42968,0.38453,0.86358,0.99047,1,0.995,0.97078,0.28567,0.39676,0.80423,0.000827388,0.000827388,0.000827388
44,3074.17,0.44849,0.42099,0.88877,0.99313,1,0.995,0.96495,0.30341,0.37175,0.8045,0.000810206,0.000810206,0.000810206
45,3142.69,0.43047,0.41717,0.88765,0.995,1,0.995,0.97369,0.25827,0.33678,0.79708,0.000792902,0.000792902,0.000792902
46,3211.39,0.40483,0.37567,0.85516,0.99174,1,0.995,0.97656,0.2608,0.33328,0.79877,0.000775494,0.000775494,0.000775494
47,3280.21,0.39805,0.36746,0.85751,0.99166,1,0.995,0.96557,0.27966,0.32677,0.80073,0.000758,0.000758,0.000758
48,3348.7,0.40423,0.37945,0.87392,0.99388,1,0.995,0.9662,0.27104,0.31371,0.79882,0.000740436,0.000740436,0.000740436
49,3417.31,0.3717,0.36646,0.85983,0.99455,1,0.995,0.96553,0.26002,0.2968,0.79636,0.00072282,0.00072282,0.00072282
50,3486.1,0.38338,0.3649,0.85538,0.99686,1,0.995,0.97865,0.24649,0.28006,0.79404,0.000705169,0.000705169,0.000705169
51,3554.73,0.39321,0.37253,0.88969,0.99671,1,0.995,0.98875,0.23322,0.2718,0.7934,0.0006875,0.0006875,0.0006875
52,3623.7,0.36908,0.3459,0.86014,0.99594,1,0.995,0.9897,0.21915,0.27051,0.79201,0.000669831,0.000669831,0.000669831
53,3692.4,0.36077,0.3419,0.861,0.99311,1,0.995,0.98915,0.22702,0.27153,0.7918,0.00065218,0.00065218,0.00065218
54,3761.17,0.37136,0.34349,0.87092,0.99043,1,0.995,0.98204,0.22993,0.26947,0.7938,0.000634564,0.000634564,0.000634564
